cohort,seed,mode,iteration,objective_value,best_objective,students_served,temperature
100,2000,Mode A,20.0,839767.1,839767.1,87.0,667.607972
100,2000,Mode A,30.0,899762.46,899762.46,93.0,545.484319
100,2000,Mode A,40.0,929748.1,929748.1,96.0,445.700404
100,2000,Mode A,50.0,939748.26,939748.26,97.0,364.16968
100,2000,Mode A,60.0,939748.26,939748.26,97.0,297.553143
100,2000,Mode A,70.0,939748.26,939748.26,97.0,243.122581
100,2000,Mode A,80.0,949741.85,949741.85,98.0,198.64885
100,2000,Mode A,90.0,949741.85,949741.85,98.0,162.310574
100,2000,Mode A,100.0,949741.85,949741.85,98.0,132.619556
100,2000,Mode A,110.0,949741.85,949741.85,98.0,108.359833
100,2000,Mode A,120.0,949741.85,949741.85,98.0,88.537873
100,2000,Mode A,130.0,949741.85,949741.85,98.0,72.341888
100,2000,Mode A,140.0,959742.22,959742.22,99.0,59.10859
100,2000,Mode A,150.0,959742.22,959742.22,99.0,48.296021
100,2000,Mode A,160.0,959742.22,959742.22,99.0,39.461366
100,2000,Mode A,170.0,959742.22,959742.22,99.0,32.242809
100,2000,Mode A,180.0,959742.22,959742.22,99.0,26.344722
100,2000,Mode A,190.0,959742.22,959742.22,99.0,21.525556
100,2000,Mode A,200.0,959742.22,959742.22,99.0,17.587947
100,2000,Mode A,210.0,959742.22,959742.22,99.0,14.370633
100,2000,Mode A,220.0,959742.22,959742.22,99.0,11.741853
100,2000,Mode A,230.0,959742.22,959742.22,99.0,9.593949
100,2000,Mode B,10.0,844829.6,844829.6,87.0,817.072807
100,2000,Mode B,20.0,854829.78,854829.78,88.0,667.607972
100,2000,Mode B,30.0,924835.88,924835.88,95.0,545.484319
100,2000,Mode B,40.0,924835.88,924835.88,95.0,445.700404
100,2000,Mode B,50.0,944828.49,944828.49,97.0,364.16968
100,2000,Mode B,60.0,954829.45,954829.45,98.0,297.553143
100,2000,Mode B,70.0,954829.45,954829.45,98.0,243.122581
100,2000,Mode B,80.0,954829.45,954829.45,98.0,198.64885
100,2000,Mode B,90.0,954829.45,954829.45,98.0,162.310574
100,2000,Mode B,100.0,954843.99,954843.99,98.0,132.619556
100,2000,Mode B,110.0,954843.99,954843.99,98.0,108.359833
100,2000,Mode B,120.0,954843.99,954843.99,98.0,88.537873
100,2000,Mode B,130.0,954843.99,954843.99,98.0,72.341888
100,2000,Mode B,140.0,954843.99,954843.99,98.0,59.10859
100,2000,Mode B,150.0,954843.99,954843.99,98.0,48.296021
100,2000,Mode B,160.0,954843.99,954843.99,98.0,39.461366
100,2000,Mode B,170.0,954843.99,954843.99,98.0,32.242809
100,2000,Mode B,180.0,954843.99,954843.99,98.0,26.344722
100,2000,Mode B,190.0,954843.99,954843.99,98.0,21.525556
100,2000,Mode C,10.0,719708.68,719708.68,75.0,817.072807
100,2000,Mode C,20.0,729728.67,729728.67,76.0,667.607972
100,2000,Mode C,30.0,799720.92,799720.92,83.0,545.484319
100,2000,Mode C,40.0,889705.82,889705.82,92.0,445.700404
100,2000,Mode C,50.0,909705.52,909705.52,94.0,364.16968
100,2000,Mode C,60.0,909705.52,909705.52,94.0,297.553143
100,2000,Mode C,70.0,909705.52,909705.52,94.0,243.122581
100,2000,Mode C,80.0,909705.52,909705.52,94.0,198.64885
100,2000,Mode C,90.0,919680.6,919680.6,95.0,162.310574
100,2000,Mode C,100.0,929686.45,929686.45,96.0,132.619556
100,2000,Mode C,110.0,929686.45,929686.45,96.0,108.359833
100,2000,Mode C,120.0,929702.25,929702.25,96.0,88.537873
100,2000,Mode C,130.0,939689.25,939689.25,97.0,72.341888
100,2000,Mode C,140.0,939689.25,939689.25,97.0,59.10859
100,2000,Mode C,150.0,939689.25,939689.25,97.0,48.296021
100,2000,Mode C,160.0,939689.25,939689.25,97.0,39.461366
100,2000,Mode C,170.0,939689.25,939689.25,97.0,32.242809
100,2000,Mode C,180.0,939689.25,939689.25,97.0,26.344722
100,2000,Mode C,190.0,939689.25,939689.25,97.0,21.525556
100,2000,Mode C,200.0,939689.25,939689.25,97.0,17.587947
100,2000,Mode C,210.0,949686.25,949686.25,98.0,14.370633
100,2000,Mode C,220.0,949686.25,949686.25,98.0,11.741853
100,2000,Mode C,230.0,949686.25,949686.25,98.0,9.593949
100,2000,Mode C,240.0,949686.25,949686.25,98.0,7.838955
100,2000,Mode C,250.0,949686.25,949686.25,98.0,6.404997
100,2000,Mode C,260.0,949686.25,949686.25,98.0,5.233349
100,2000,Mode C,270.0,949686.25,949686.25,98.0,4.276027
100,2000,Mode C,280.0,949686.25,949686.25,98.0,3.493825
100,2000,Mode C,290.0,949686.25,949686.25,98.0,2.85471
100,2000,Mode C,300.0,949686.25,949686.25,98.0,2.332506
100,42,Mode A,10.0,789743.0,789743.0,82.0,817.072807
