[DEBUG] Building metrics for mode B: sol has 10 routes
[DEBUG] Calculated ride_time=57.44166666666666 for stop_idx=1, stops_count=8
[DEBUG] Calculated ride_time=56.78 for stop_idx=2, stops_count=7
[DEBUG] Calculated ride_time=49.43333333333334 for stop_idx=3, stops_count=6
[DEBUG] Calculated ride_time=33.541666666666664 for stop_idx=4, stops_count=5
[DEBUG] Calculated ride_time=33.33333333333333 for stop_idx=5, stops_count=4
[DEBUG] Calculated ride_time=22.7 for stop_idx=6, stops_count=3
[DEBUG] Calculated ride_time=17.966666666666665 for stop_idx=7, stops_count=2
[DEBUG] Calculated ride_time=50.265 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=41.39333333333333 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=32.16833333333334 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=8.598333333333333 for stop_idx=4, stops_count=2
[DEBUG] Calculated ride_time=55.01666666666666 for stop_idx=1, stops_count=5
[DEBUG] Calculated ride_time=35.461666666666666 for stop_idx=2, stops_count=4
[DEBUG] Calculated ride_time=16.868333333333332 for stop_idx=3, stops_count=3
[DEBUG] Calculated ride_time=5.555000000000001 for stop_idx=4, stops_count=2
[DEBUG] Calculated ride_time=54.489999999999995 for stop_idx=1, stops_count=3
[DEBUG] Calculated ride_time=24.138333333333332 for stop_idx=2, stops_count=2
