lon,lat
31.429126062762,30.150067482433
31.432154680592,30.149403270295
31.433910401074,30.147695275692
31.435885586615,30.144317154841
31.436412302759,30.142874775871
31.438958097457,30.137902202526
31.441284427094,30.134637628823
31.451994322030,30.133726565727
31.462879789013,30.132208108547
31.464284365398,30.125678476515
31.461826356724,30.121274527360
31.437772986132,30.086491617712
31.439353134565,30.081022448659
31.414597475781,30.058686870127
31.404941013134,30.041817889323
31.400727283979,30.010503880344
31.394406690247,29.999404795212
31.369124315318,29.986783779283
31.365612874356,29.982069494305
31.361925861345,29.979179983215
31.366742875600,29.960587007013
31.454120095920,29.929140115526
31.456431662595,29.921527271731
31.461748265948,29.915616899467
31.460130169275,29.912511309037
31.434818514183,29.918421865640
31.412280739100,29.918021161024
31.396793242377,29.917420101077
31.388471602346,29.913613303824
31.385697722336,29.911008569222
31.381536902321,29.902192038955
31.381247956487,29.899687200533
31.380727853985,29.893575130518
31.380265540650,29.890268444589
31.377433871473,29.886360401611
31.373446418958,29.882051356136
31.365182568095,29.877992666264
31.355647355560,29.877140821491
31.356803138897,29.862908926950
31.358190078902,29.838649893990
31.353104632217,29.816591113782
31.348019185532,29.788509262265
31.339101495090,29.774914979306
31.341296145691,29.769352460450
31.341559503764,29.766456780432
31.333790440634,29.767333113480
31.330937394853,29.764018248127
31.312395154856,29.759357432717
31.312290512041,29.754149006284
31.309151227588,29.753906747305
31.307093252225,29.753694770217
31.305732895628,29.756238465680
31.304162657515,29.757311978258
31.301529076793,29.757311978258
31.300640278627,29.757146912700
31.298500458963,29.771219367659
31.289019568364,29.770152567800
31.288756210292,29.779981936479
31.289809642581,29.785543864916
31.294989018000,29.797352414309
31.291126432942,29.831170480401
31.293935585712,29.846400106085
31.290775288846,29.861322886073
31.278748603550,29.914067677749
31.278660817525,29.924643719488
31.275763878732,29.934457889699
31.270584503312,29.942445453243
31.264351695604,29.946096697257
31.249691429586,29.954615745334
31.234592233448,29.964883270639
31.233099871039,29.971043276705
31.230466290317,29.980092469483
31.228008281644,29.982297610021
31.225901417066,29.988228434715
31.226779277307,29.998340434144
31.220195325502,30.015596880474
31.220283111526,30.028974261796
31.222741120200,30.033686318470
31.222389976104,30.035814270632
31.221687687911,30.037942177101
31.215367094179,30.062485793656
31.214796485023,30.066474506460
31.218088460925,30.070463058522
31.222126618032,30.074033625899
31.224891877789,30.074983223192
31.239639929831,30.105061746704
31.279889821862,30.112352131867
31.283489048849,30.113567143761
31.284191337041,30.115275728954
31.289063461376,30.130499816300
31.290116893665,30.130272041766
31.296174129325,30.128829457518
31.297403133662,30.130385929099
31.306708452212,30.136725450033
31.306884024260,30.137940162050
31.307586312453,30.139420572106
31.310527144259,30.141736040738
31.312897366908,30.141887872848
31.320754216062,30.142077662658
31.321237039194,30.144962422817
31.322422150519,30.150959417410
31.325055731241,30.150997371911
31.328913169827,30.166526350695
31.329181674371,30.167145686768
31.315618733654,30.169536399323
31.316847737991,30.172989548420
31.334712193887,30.169877924955
31.343007973161,30.168360024201
31.338838137018,30.164565170053
31.336731272440,30.163123087173
31.358897243515,30.165779539275
31.364076618935,30.155988261554
31.368246455078,30.149839753061
31.372372398208,30.152458609094
31.374303690738,30.153179731154
31.375532695074,30.178377737171
31.375657271332,30.179077346024
31.378868563989,30.178188017220
31.381765502783,30.176708189061
31.383740688324,30.175759569577
31.384530762541,30.178112129137
31.385715873865,30.177846520387
31.388788384707,30.176442576526
31.391290286393,30.175114503112
31.399498279643,30.173558737206
31.403360864701,30.179895483632
31.404107045906,30.190101721232
31.407179556748,30.189229110291
31.410603211686,30.189229110291
31.412446718191,30.189912023859
31.415211977949,30.189722326121
31.412183360119,30.195451036703
31.413544043492,30.197954871755
31.417801665659,30.201444959827
31.419118456020,30.201369089662
31.420171888308,30.200458643132
31.429095359861,30.179145657444
31.428599346618,30.176897911862
31.426668054089,30.173444899712
31.423858901319,30.168094389166
31.424385617463,30.165551846185
31.428423774570,30.167790805392
31.430091709027,30.167980545360
31.436412302759,30.167639013155
31.438003271410,30.168284629879
31.442206180347,30.165893385622
31.444532509985,30.167259531538
31.443522970708,30.168094389166
31.444795868057,30.169118977500
31.445937086370,30.168246180702
31.448087843959,30.170712760405
31.459368348051,30.169346662350
31.459412241063,30.170523025697
31.462045821784,30.170447131711
31.463648031945,30.168909800535
31.466764435799,30.159764105223
31.429126062762,30.150067482433
