[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=56.59609895745586 for stop_idx=1, stops_count=18
[DEBUG] Calculated ride_time=54.29473777915349 for stop_idx=2, stops_count=17
[DEBUG] Calculated ride_time=52.546984359448714 for stop_idx=3, stops_count=16
[DEBUG] Calculated ride_time=45.94715632823367 for stop_idx=4, stops_count=15
[DEBUG] Calculated ride_time=44.979486568370945 for stop_idx=5, stops_count=14
[DEBUG] Calculated ride_time=43.25460950232722 for stop_idx=6, stops_count=13
[DEBUG] Calculated ride_time=41.577772778971706 for stop_idx=7, stops_count=12
[DEBUG] Calculated ride_time=31.267400183933166 for stop_idx=8, stops_count=11
[DEBUG] Calculated ride_time=26.147672234588537 for stop_idx=9, stops_count=10
[DEBUG] Calculated ride_time=21.531224065787168 for stop_idx=10, stops_count=9
[DEBUG] Calculated ride_time=19.34653229115619 for stop_idx=11, stops_count=8
[DEBUG] Calculated ride_time=14.63857870771059 for stop_idx=12, stops_count=7
[DEBUG] Calculated ride_time=13.714374019803873 for stop_idx=13, stops_count=6
[DEBUG] Calculated ride_time=10.893719613395504 for stop_idx=14, stops_count=5
[DEBUG] Calculated ride_time=9.868858969380135 for stop_idx=15, stops_count=4
[DEBUG] Calculated ride_time=5.330190403026359 for stop_idx=16, stops_count=3
[DEBUG] Calculated ride_time=3.74257145894898 for stop_idx=17, stops_count=2
[DEBUG] Calculated ride_time=59.36871302117599 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=56.74021998552051 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=55.69019535247797 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=50.23647263968191 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=42.808520605936586 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=40.42709218982052 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=36.45575719426097 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=34.17956000498577 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=29.89939423500194 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=13.410118516111812 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=9.756764836440954 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=7.244941204456858 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=2.83666785397111 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=70.97159959806427 for stop_idx=1, stops_count=12
[DEBUG] Calculated ride_time=63.0815452203656 for stop_idx=2, stops_count=11
[DEBUG] Calculated ride_time=56.930093720907294 for stop_idx=3, stops_count=10
[DEBUG] Calculated ride_time=50.57733030923167 for stop_idx=4, stops_count=9
[DEBUG] Calculated ride_time=50.0351607274646 for stop_idx=5, stops_count=8
[DEBUG] Calculated ride_time=44.82392736347575 for stop_idx=6, stops_count=7
[DEBUG] Calculated ride_time=41.83170030460944 for stop_idx=7, stops_count=6
[DEBUG] Calculated ride_time=34.94820548799729 for stop_idx=8, stops_count=5
[DEBUG] Calculated ride_time=29.190227271509162 for stop_idx=9, stops_count=4
[DEBUG] Calculated ride_time=23.585520624550114 for stop_idx=10, stops_count=3
[DEBUG] Calculated ride_time=5.542940492074192 for stop_idx=11, stops_count=2
[DEBUG] Calculated ride_time=58.540589018645726 for stop_idx=1, stops_count=13
[DEBUG] Calculated ride_time=56.534332802570994 for stop_idx=2, stops_count=12
[DEBUG] Calculated ride_time=46.65403565636033 for stop_idx=3, stops_count=11
[DEBUG] Calculated ride_time=43.75102637677215 for stop_idx=4, stops_count=10
[DEBUG] Calculated ride_time=39.0613738762554 for stop_idx=5, stops_count=9
[DEBUG] Calculated ride_time=36.16751513813165 for stop_idx=6, stops_count=8
[DEBUG] Calculated ride_time=31.104978072939662 for stop_idx=7, stops_count=7
[DEBUG] Calculated ride_time=20.758003312043428 for stop_idx=8, stops_count=6
[DEBUG] Calculated ride_time=10.806789469483485 for stop_idx=9, stops_count=5
[DEBUG] Calculated ride_time=6.686758175127059 for stop_idx=10, stops_count=4
[DEBUG] Calculated ride_time=4.2252625211972905 for stop_idx=11, stops_count=3
[DEBUG] Calculated ride_time=3.7837488955388836 for stop_idx=12, stops_count=2
[DEBUG] Calculated ride_time=61.68151237630891 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=60.43017583104906 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=55.18691557193471 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=51.5907527764165 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=39.516613314110444 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=37.167211793119854 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=29.075845503203876 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=26.847688656616892 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=23.26753930866142 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=16.37031867985263 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=13.46959703563056 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=9.8551331571835 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=5.197507551792227 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=59.87428043708536 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=57.22291104776882 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=50.9113250726831 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=45.83506219529448 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=41.39704958504935 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=38.76398127866165 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=37.19237578214702 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=34.961931300193925 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=26.216301295571704 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=25.218892275949607 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=23.869187409947223 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=17.097786726274254 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=10.26233225235032 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=6.183478394583798 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=3.2415793137718243 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=59.59976419315268 for stop_idx=1, stops_count=17
[DEBUG] Calculated ride_time=58.0075699783431 for stop_idx=2, stops_count=16
[DEBUG] Calculated ride_time=55.26011990365011 for stop_idx=3, stops_count=15
[DEBUG] Calculated ride_time=54.38853082916381 for stop_idx=4, stops_count=14
[DEBUG] Calculated ride_time=53.24471314611095 for stop_idx=5, stops_count=13
[DEBUG] Calculated ride_time=48.463555230949964 for stop_idx=6, stops_count=12
[DEBUG] Calculated ride_time=44.83994081103849 for stop_idx=7, stops_count=11
[DEBUG] Calculated ride_time=41.790522868019536 for stop_idx=8, stops_count=10
[DEBUG] Calculated ride_time=38.08684121029436 for stop_idx=9, stops_count=9
[DEBUG] Calculated ride_time=33.207314974390826 for stop_idx=10, stops_count=8
[DEBUG] Calculated ride_time=31.830158483995177 for stop_idx=11, stops_count=7
[DEBUG] Calculated ride_time=28.98205245319354 for stop_idx=12, stops_count=6
[DEBUG] Calculated ride_time=25.49798379061451 for stop_idx=13, stops_count=5
[DEBUG] Calculated ride_time=20.170081022954253 for stop_idx=14, stops_count=4
[DEBUG] Calculated ride_time=18.099771016628566 for stop_idx=15, stops_count=3
[DEBUG] Calculated ride_time=16.25822454691345 for stop_idx=16, stops_count=2
[DEBUG] Calculated ride_time=59.23831780530797 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=54.97416548288689 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=52.18553797160399 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=49.25050179689033 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=48.09753357237305 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=47.03835839786609 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=34.45636388428456 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=33.67856785980861 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=28.659495866572634 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=19.799484093645127 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=16.32914124326273 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=10.312660230404648 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=4.870375694439107 for stop_idx=13, stops_count=2
[DEBUG] Calculated ride_time=59.7690492102445 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=56.07451809398374 for stop_idx=2, stops_count=13
[DEBUG] Calculated ride_time=50.35542967871941 for stop_idx=3, stops_count=12
[DEBUG] Calculated ride_time=45.07099198301516 for stop_idx=4, stops_count=11
[DEBUG] Calculated ride_time=44.32064758293249 for stop_idx=5, stops_count=10
[DEBUG] Calculated ride_time=39.20549490432006 for stop_idx=6, stops_count=9
[DEBUG] Calculated ride_time=38.40024725545084 for stop_idx=7, stops_count=8
[DEBUG] Calculated ride_time=28.963751370264696 for stop_idx=8, stops_count=7
[DEBUG] Calculated ride_time=19.758306657055222 for stop_idx=9, stops_count=6
[DEBUG] Calculated ride_time=18.02656668491318 for stop_idx=10, stops_count=5
[DEBUG] Calculated ride_time=14.119285479604589 for stop_idx=11, stops_count=4
[DEBUG] Calculated ride_time=8.30640401432992 for stop_idx=12, stops_count=3
[DEBUG] Calculated ride_time=6.341325234845094 for stop_idx=13, stops_count=2
