[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=59.58832601632215 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=56.65557747697459 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=54.99704183654794 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=53.73655474982368 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=46.60142004293989 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=44.31378467683416 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=42.97551798766231 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=40.80912729596018 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=40.29669697395249 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=39.44798425312727 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=32.74292499507136 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=28.645770054375994 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=22.842039130565748 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=14.149024739363963 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=4.781157915160983 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=55.42940492074192 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=54.413694818190976 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=50.91361270804921 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=49.870450981104995 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=48.463555230949964 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=40.12054905076236 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=24.759077567362354 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=23.564931906255158 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=21.048533003538854 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=20.494925244941268 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=15.006888001653614 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=14.766686288212512 for stop_idx=12, stops_count=5
