[DEBUG] Building metrics for mode B: sol has 9 routes
[DEBUG] Calculated ride_time=72.57065671897219 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=65.97311632312325 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=60.69554153351732 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=55.55980013660996 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=54.308463591350126 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=49.065203332235775 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=41.05390428013349 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=37.33192153947946 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=33.271368764641785 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=30.873926900962978 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=28.195105887253163 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=20.593293565683815 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=19.172672003332153 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=18.241604409327117 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=10.838816364608965 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=60.10990687979426 for stop_idx=1, stops_count=16
[DEBUG] Calculated ride_time=59.48995769557961 for stop_idx=2, stops_count=15
[DEBUG] Calculated ride_time=54.35650393403834 for stop_idx=3, stops_count=14
[DEBUG] Calculated ride_time=51.36427687517204 for stop_idx=4, stops_count=13
[DEBUG] Calculated ride_time=44.48078205855989 for stop_idx=5, stops_count=12
[DEBUG] Calculated ride_time=38.84633615184146 for stop_idx=6, stops_count=11
[DEBUG] Calculated ride_time=32.73377445360694 for stop_idx=7, stops_count=10
[DEBUG] Calculated ride_time=26.490817539504395 for stop_idx=8, stops_count=9
[DEBUG] Calculated ride_time=23.702190028221505 for stop_idx=9, stops_count=8
[DEBUG] Calculated ride_time=20.913562516938615 for stop_idx=10, stops_count=7
[DEBUG] Calculated ride_time=19.08802949478624 for stop_idx=11, stops_count=6
[DEBUG] Calculated ride_time=18.159249536147314 for stop_idx=12, stops_count=5
[DEBUG] Calculated ride_time=6.686758175127059 for stop_idx=13, stops_count=4
[DEBUG] Calculated ride_time=4.2252625211972905 for stop_idx=14, stops_count=3
[DEBUG] Calculated ride_time=3.7837488955388836 for stop_idx=15, stops_count=2
[DEBUG] Calculated ride_time=59.489957695579605 for stop_idx=1, stops_count=14
[DEBUG] Calculated ride_time=55.98072504397341 for stop_idx=2, stops_count=13
